color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
COLOR,Martin Scorsese,240,1168667270,BIOGRAPHY,THE WOLF OF WALL STREET,2013,ENGLISH,USA,1000000000,8.2,"LEONARDO DICAPRIO,MATTHEW MCCONAUGHEY,JON FAVREAU",138000
COLOR,Martin Scorsese,240,1168667270,COMEDY,THE WOLF OF WALL STREET,2013,ENGLISH,USA,1000000000,8.2,"LEONARDO DICAPRIO,MATTHEW MCCONAUGHEY,JON FAVREAU",138000
COLOR,Martin Scorsese,240,1168667270,CRIME,THE WOLF OF WALL STREET,2013,ENGLISH,USA,1000000000,8.2,"LEONARDO DICAPRIO,MATTHEW MCCONAUGHEY,JON FAVREAU",138000
COLOR,Martin Scorsese,240,1168667270,DRAMA,THE WOLF OF WALL STREET,2013,ENGLISH,USA,1000000000,8.2,"LEONARDO DICAPRIO,MATTHEW MCCONAUGHEY,JON FAVREAU",138000
COLOR,Shane Black,195,4089922720,ACTION,IRON MAN 3,2013,ENGLISH,USA,2000000000,7.2,"ROBERT DOWNEY JR.,JON FAVREAU,DON CHEADLE",95000
COLOR,Shane Black,195,4089922720,ADVENTURE,IRON MAN 3,2013,ENGLISH,USA,2000000000,7.2,"ROBERT DOWNEY JR.,JON FAVREAU,DON CHEADLE",95000
COLOR,Shane Black,195,4089922720,SCI-FI,IRON MAN 3,2013,ENGLISH,USA,2000000000,7.2,"ROBERT DOWNEY JR.,JON FAVREAU,DON CHEADLE",95000
COLOR ,Quentin Tarantino,187,541161910,CRIME,THE HATEFUL EIGHT,2015,ENGLISH,USA,440000000,7.9,"CRAIG STARK,JENNIFER JASON LEIGH,ZOË BELL",114000
COLOR ,Quentin Tarantino,187,541161910,DRAMA,THE HATEFUL EIGHT,2015,ENGLISH,USA,440000000,7.9,"CRAIG STARK,JENNIFER JASON LEIGH,ZOË BELL",114000
COLOR ,Quentin Tarantino,187,541161910,MYSTERY,THE HATEFUL EIGHT,2015,ENGLISH,USA,440000000,7.9,"CRAIG STARK,JENNIFER JASON LEIGH,ZOË BELL",114000
